_raw,index,host,source,sourcetype
"2012-05-31 03:37:18 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=host-19,moname=""esxi4103.splunk.com"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:host-19"",apiType=HostAgent, apiVersion=4.1, build=348481, fullName=VMware ESXi 4.1.0 build-348481, licenseProductName=VMware ESX Server, licenseProductVersion=4.0, localeBuild=000, localeVersion=INTL, name=VMware ESXi, osType=vmnix-x86, productLineId=embeddedEsx, vendor=""VMware, Inc."", version=4.1.0,subpath=config/product",vmware,VCENTER41,AboutInfo,vmware:inv
"2012-05-31 03:37:18 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=host-20,moname=""esxi4104.splunk.com"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:host-20"",apiType=VirtualCenter, apiVersion=4.1, build=345043, fullName=VMware vCenter Server 4.1.0 build-345043, instanceUuid=593E6A61-A674-478C-82C2-8EDB92A22906, licenseProductName=VMware VirtualCenter Server, licenseProductVersion=4.0, localeBuild=000, localeVersion=INTL, name=VMware vCenter Server, osType=win32-x86, productLineId=vpx, vendor=""VMware, Inc."", version=4.1.0,subpath=vim/service_content/about",vmware,VCENTER41,AboutInfo,vmware:inv
"2012-05-31 03:37:18 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=host-20,moname=""esxi4104.splunk.com"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:host-20"",apiType=HostAgent, apiVersion=4.1, build=348481, fullName=VMware ESXi 4.1.0 build-348481, licenseProductName=VMware ESX Server, licenseProductVersion=4.0, localeBuild=000, localeVersion=INTL, name=VMware ESXi, osType=vmnix-x86, productLineId=embeddedEsx, vendor=""VMware, Inc."", version=4.1.0,subpath=summary/config/product",vmware,VCENTER41,AboutInfo,vmware:inv
"2012-05-31 03:37:18 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=host-20,moname=""esxi4104.splunk.com"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:host-20"",apiType=HostAgent, apiVersion=4.1, build=348481, fullName=VMware ESXi 4.1.0 build-348481, licenseProductName=VMware ESX Server, licenseProductVersion=4.0, localeBuild=000, localeVersion=INTL, name=VMware ESXi, osType=vmnix-x86, productLineId=embeddedEsx, vendor=""VMware, Inc."", version=4.1.0,subpath=config/product",vmware,VCENTER41,AboutInfo,vmware:inv
"2012-05-31 03:37:18 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=vm-2179,moname=""ross-datagen0044"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-2179"",apiType=VirtualCenter, apiVersion=4.1, build=345043, fullName=VMware vCenter Server 4.1.0 build-345043, instanceUuid=593E6A61-A674-478C-82C2-8EDB92A22906, licenseProductName=VMware VirtualCenter Server, licenseProductVersion=4.0, localeBuild=000, localeVersion=INTL, name=VMware vCenter Server, osType=win32-x86, productLineId=vpx, vendor=""VMware, Inc."", version=4.1.0,subpath=vim/service_content/about",vmware,VCENTER41,AboutInfo,vmware:inv
"2012-05-31 03:37:18 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=group-d1,moname=""Datacenters"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:group-d1"",apiType=VirtualCenter, apiVersion=4.1, build=345043, fullName=VMware vCenter Server 4.1.0 build-345043, instanceUuid=593E6A61-A674-478C-82C2-8EDB92A22906, licenseProductName=VMware VirtualCenter Server, licenseProductVersion=4.0, localeBuild=000, localeVersion=INTL, name=VMware vCenter Server, osType=win32-x86, productLineId=vpx, vendor=""VMware, Inc."", version=4.1.0,subpath=vim/service_content/about",vmware,VCENTER41,AboutInfo,vmware:inv
"2012-05-31 03:37:18 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=vm-1647,moname=""ANTIVIR01"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1647"",apiType=VirtualCenter, apiVersion=4.1, build=345043, fullName=VMware vCenter Server 4.1.0 build-345043, instanceUuid=593E6A61-A674-478C-82C2-8EDB92A22906, licenseProductName=VMware VirtualCenter Server, licenseProductVersion=4.0, localeBuild=000, localeVersion=INTL, name=VMware vCenter Server, osType=win32-x86, productLineId=vpx, vendor=""VMware, Inc."", version=4.1.0,subpath=vim/service_content/about",vmware,VCENTER41,AboutInfo,vmware:inv
"2012-05-31 03:37:18 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=vm-1447,moname=""qasvwin7x64-HK1"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1447"",apiType=VirtualCenter, apiVersion=4.1, build=345043, fullName=VMware vCenter Server 4.1.0 build-345043, instanceUuid=593E6A61-A674-478C-82C2-8EDB92A22906, licenseProductName=VMware VirtualCenter Server, licenseProductVersion=4.0, localeBuild=000, localeVersion=INTL, name=VMware vCenter Server, osType=win32-x86, productLineId=vpx, vendor=""VMware, Inc."", version=4.1.0,subpath=vim/service_content/about",vmware,VCENTER41,AboutInfo,vmware:inv
"2012-05-31 03:37:18 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=vm-744,moname=""io-qa-splunk"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-744"",apiType=VirtualCenter, apiVersion=4.1, build=345043, fullName=VMware vCenter Server 4.1.0 build-345043, instanceUuid=593E6A61-A674-478C-82C2-8EDB92A22906, licenseProductName=VMware VirtualCenter Server, licenseProductVersion=4.0, localeBuild=000, localeVersion=INTL, name=VMware vCenter Server, osType=win32-x86, productLineId=vpx, vendor=""VMware, Inc."", version=4.1.0,subpath=vim/service_content/about",vmware,VCENTER41,AboutInfo,vmware:inv
"2012-05-31 03:37:18 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=vm-16,moname=""vCenter41"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-16"",apiType=VirtualCenter, apiVersion=4.1, build=345043, fullName=VMware vCenter Server 4.1.0 build-345043, instanceUuid=593E6A61-A674-478C-82C2-8EDB92A22906, licenseProductName=VMware VirtualCenter Server, licenseProductVersion=4.0, localeBuild=000, localeVersion=INTL, name=VMware vCenter Server, osType=win32-x86, productLineId=vpx, vendor=""VMware, Inc."", version=4.1.0,subpath=vim/service_content/about",vmware,VCENTER41,AboutInfo,vmware:inv
"2012-05-31 03:23:58 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=vm-1647,moname=""ANTIVIR01"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1647"",apiType=VirtualCenter, apiVersion=4.1, build=345043, fullName=VMware vCenter Server 4.1.0 build-345043, instanceUuid=593E6A61-A674-478C-82C2-8EDB92A22906, licenseProductName=VMware VirtualCenter Server, licenseProductVersion=4.0, localeBuild=000, localeVersion=INTL, name=VMware vCenter Server, osType=win32-x86, productLineId=vpx, vendor=""VMware, Inc."", version=4.1.0,subpath=vim/service_content/about",vmware,VCENTER41,AboutInfo,vmware:inv
"2012-05-31 03:23:58 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=vm-1447,moname=""qasvwin7x64-HK1"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1447"",apiType=VirtualCenter, apiVersion=4.1, build=345043, fullName=VMware vCenter Server 4.1.0 build-345043, instanceUuid=593E6A61-A674-478C-82C2-8EDB92A22906, licenseProductName=VMware VirtualCenter Server, licenseProductVersion=4.0, localeBuild=000, localeVersion=INTL, name=VMware vCenter Server, osType=win32-x86, productLineId=vpx, vendor=""VMware, Inc."", version=4.1.0,subpath=vim/service_content/about",vmware,VCENTER41,AboutInfo,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=vm-1647,moname=""ANTIVIR01"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1647"",acknowledged=False, key=alarm-7.vm-1647, overallStatus=green, time=2012-05-29T19:52:08Z,subpath=declaredAlarmState-8",vmware,VCENTER41,AlarmState,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=vm-1647,moname=""ANTIVIR01"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1647"",acknowledged=False, key=alarm-6.vm-1647, overallStatus=green, time=2012-05-29T19:52:08Z,subpath=declaredAlarmState-7",vmware,VCENTER41,AlarmState,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=vm-1647,moname=""ANTIVIR01"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1647"",acknowledged=False, key=alarm-34.vm-1647, overallStatus=gray, time=2012-05-14T17:23:26.155734Z,subpath=declaredAlarmState-6",vmware,VCENTER41,AlarmState,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=vm-1647,moname=""ANTIVIR01"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1647"",acknowledged=False, key=alarm-30.vm-1647, overallStatus=gray, time=2012-05-14T17:23:26.098117Z,subpath=declaredAlarmState-5",vmware,VCENTER41,AlarmState,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=vm-1647,moname=""ANTIVIR01"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1647"",acknowledged=False, key=alarm-28.vm-1647, overallStatus=gray, time=2012-05-14T17:23:26.039523Z,subpath=declaredAlarmState-4",vmware,VCENTER41,AlarmState,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=vm-1647,moname=""ANTIVIR01"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1647"",acknowledged=False, key=alarm-25.vm-1647, overallStatus=gray, time=2012-05-14T17:23:25.992648Z,subpath=declaredAlarmState-3",vmware,VCENTER41,AlarmState,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=vm-1647,moname=""ANTIVIR01"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1647"",acknowledged=False, key=alarm-2.vm-1647, overallStatus=gray, time=2012-05-14T17:23:25.934054Z,subpath=declaredAlarmState-2",vmware,VCENTER41,AlarmState,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=vm-1647,moname=""ANTIVIR01"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1647"",acknowledged=False, key=alarm-11.vm-1647, overallStatus=gray, time=2012-05-14T17:23:25.883273Z,subpath=declaredAlarmState-1",vmware,VCENTER41,AlarmState,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=vm-1647,moname=""ANTIVIR01"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1647"",acknowledged=False, key=alarm-10.vm-1647, overallStatus=gray, time=2012-05-14T17:23:25.841281Z,subpath=declaredAlarmState-0",vmware,VCENTER41,AlarmState,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=vm-1447,moname=""qasvwin7x64-HK1"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1447"",acknowledged=False, key=alarm-7.vm-1447, overallStatus=green, time=2012-05-30T16:32:22Z,subpath=declaredAlarmState-8",vmware,VCENTER41,AlarmState,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=vm-1447,moname=""qasvwin7x64-HK1"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1447"",acknowledged=False, key=alarm-6.vm-1447, overallStatus=green, time=2012-05-30T16:32:22Z,subpath=declaredAlarmState-7",vmware,VCENTER41,AlarmState,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=vm-1447,moname=""qasvwin7x64-HK1"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1447"",acknowledged=False, key=alarm-34.vm-1447, overallStatus=gray, time=2012-05-14T17:23:26.1655Z,subpath=declaredAlarmState-6",vmware,VCENTER41,AlarmState,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=vm-1447,moname=""qasvwin7x64-HK1"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1447"",acknowledged=False, key=alarm-30.vm-1447, overallStatus=gray, time=2012-05-14T17:23:26.107882Z,subpath=declaredAlarmState-5",vmware,VCENTER41,AlarmState,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=vm-1447,moname=""qasvwin7x64-HK1"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1447"",acknowledged=False, key=alarm-28.vm-1447, overallStatus=gray, time=2012-05-14T17:23:26.046359Z,subpath=declaredAlarmState-4",vmware,VCENTER41,AlarmState,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=vm-1447,moname=""qasvwin7x64-HK1"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1447"",acknowledged=False, key=alarm-25.vm-1447, overallStatus=gray, time=2012-05-14T17:23:26.001437Z,subpath=declaredAlarmState-3",vmware,VCENTER41,AlarmState,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=vm-1447,moname=""qasvwin7x64-HK1"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1447"",acknowledged=False, key=alarm-2.vm-1447, overallStatus=gray, time=2012-05-14T17:23:25.942843Z,subpath=declaredAlarmState-2",vmware,VCENTER41,AlarmState,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=vm-1447,moname=""qasvwin7x64-HK1"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1447"",acknowledged=False, key=alarm-11.vm-1447, overallStatus=gray, time=2012-05-14T17:23:25.890109Z,subpath=declaredAlarmState-1",vmware,VCENTER41,AlarmState,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=vm-1447,moname=""qasvwin7x64-HK1"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:vm-1447"",acknowledged=False, key=alarm-10.vm-1447, overallStatus=gray, time=2012-05-14T17:23:25.848117Z,subpath=declaredAlarmState-0",vmware,VCENTER41,AlarmState,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=host-20,moname=""esxi4104.splunk.com"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:host-20"",acknowledged=False, key=alarm-5.host-20, overallStatus=green, time=2012-05-04T00:37:41Z,subpath=declaredAlarmState-25",vmware,VCENTER41,AlarmState,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=host-20,moname=""esxi4104.splunk.com"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:host-20"",acknowledged=False, key=alarm-4.host-20, overallStatus=green, time=2012-05-21T17:23:57Z,subpath=declaredAlarmState-24",vmware,VCENTER41,AlarmState,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=host-20,moname=""esxi4104.splunk.com"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:host-20"",acknowledged=False, key=alarm-38.host-20, overallStatus=gray, time=2012-05-14T17:23:26.183078Z,subpath=declaredAlarmState-23",vmware,VCENTER41,AlarmState,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=host-20,moname=""esxi4104.splunk.com"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:host-20"",acknowledged=False, key=alarm-37.host-20, overallStatus=gray, time=2012-05-14T17:23:26.182101Z,subpath=declaredAlarmState-22",vmware,VCENTER41,AlarmState,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=host-20,moname=""esxi4104.splunk.com"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:host-20"",acknowledged=False, key=alarm-36.host-20, overallStatus=green, time=2011-11-04T00:53:45Z,subpath=declaredAlarmState-21",vmware,VCENTER41,AlarmState,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=host-20,moname=""esxi4104.splunk.com"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:host-20"",acknowledged=False, key=alarm-35.host-20, overallStatus=green, time=2011-11-04T00:53:45Z,subpath=declaredAlarmState-20",vmware,VCENTER41,AlarmState,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=host-20,moname=""esxi4104.splunk.com"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:host-20"",acknowledged=False, key=alarm-32.host-20, overallStatus=gray, time=2012-05-14T17:23:26.123507Z,subpath=declaredAlarmState-19",vmware,VCENTER41,AlarmState,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=host-20,moname=""esxi4104.splunk.com"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:host-20"",acknowledged=False, key=alarm-31.host-20, overallStatus=gray, time=2012-05-14T17:23:26.122531Z,subpath=declaredAlarmState-18",vmware,VCENTER41,AlarmState,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=host-20,moname=""esxi4104.splunk.com"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:host-20"",acknowledged=False, key=alarm-3.host-20, overallStatus=green, time=2012-05-04T00:37:41Z,subpath=declaredAlarmState-17",vmware,VCENTER41,AlarmState,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=host-20,moname=""esxi4104.splunk.com"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:host-20"",acknowledged=False, key=alarm-29.host-20, overallStatus=gray, time=2012-05-14T17:23:26.057101Z,subpath=declaredAlarmState-16",vmware,VCENTER41,AlarmState,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=host-20,moname=""esxi4104.splunk.com"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:host-20"",acknowledged=False, key=alarm-27.host-20, overallStatus=gray, time=2012-05-14T17:23:26.012179Z,subpath=declaredAlarmState-15",vmware,VCENTER41,AlarmState,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=host-20,moname=""esxi4104.splunk.com"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:host-20"",acknowledged=False, key=alarm-26.host-20, overallStatus=gray, time=2012-05-14T17:23:26.012179Z,subpath=declaredAlarmState-14",vmware,VCENTER41,AlarmState,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=host-20,moname=""esxi4104.splunk.com"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:host-20"",acknowledged=False, key=alarm-24.host-20, overallStatus=gray, time=2012-05-22T02:01:17Z,subpath=declaredAlarmState-13",vmware,VCENTER41,AlarmState,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=host-20,moname=""esxi4104.splunk.com"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:host-20"",acknowledged=False, key=alarm-23.host-20, overallStatus=gray, time=2012-05-14T17:23:25.958468Z,subpath=declaredAlarmState-12",vmware,VCENTER41,AlarmState,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=host-20,moname=""esxi4104.splunk.com"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:host-20"",acknowledged=False, key=alarm-22.host-20, overallStatus=gray, time=2012-05-14T17:23:25.958468Z,subpath=declaredAlarmState-11",vmware,VCENTER41,AlarmState,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=host-20,moname=""esxi4104.splunk.com"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:host-20"",acknowledged=False, key=alarm-21.host-20, overallStatus=gray, time=2012-05-14T17:23:25.957492Z,subpath=declaredAlarmState-10",vmware,VCENTER41,AlarmState,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=host-20,moname=""esxi4104.splunk.com"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:host-20"",acknowledged=False, key=alarm-20.host-20, overallStatus=gray, time=2012-05-14T17:23:25.955539Z,subpath=declaredAlarmState-9",vmware,VCENTER41,AlarmState,vmware:inv
"2012-05-31 03:49:00 UTC,fa=splunkvmwarefa,vc=VCENTER41,MOR=host-20,moname=""esxi4104.splunk.com"",meid=""vc-593E6A61-A674-478C-82C2-8EDB92A22906:host-20"",acknowledged=False, key=alarm-19.host-20, overallStatus=gray, time=2012-05-14T17:23:25.907687Z,subpath=declaredAlarmState-8",vmware,VCENTER41,AlarmState,vmware:inv
